A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T	virus	type
FowlpoxN20.S3	0.00684931506849315	0.00684931506849315	0.0205479452054795	0.0273972602739726	0.0205479452054795	0	0	0.0753424657534247	0.0273972602739726	0.00684931506849315	0.0136986301369863	0.0273972602739726	0.00684931506849315	0.00684931506849315	0	0	0.00684931506849315	0.00684931506849315	0.0205479452054795	0.0342465753424658	0.00684931506849315	0.00684931506849315	0	0.00684931506849315	0	0	0	0.00684931506849315	0	0	0	0	0.00684931506849315	0.00684931506849315	0.0273972602739726	0.0136986301369863	0	0	0	0.00684931506849315	0.0273972602739726	0	0.00684931506849315	0	0.0342465753424658	0.0205479452054795	0	0.0136986301369863	0	0	0.0205479452054795	0.0205479452054795	0	0	0	0.0136986301369863	0.0136986301369863	0	0.00684931506849315	0.0479452054794521	0	0	0	0.0205479452054795	0.0205479452054795	0	0.0205479452054795	0.00684931506849315	0.00684931506849315	0.00684931506849315	0	0.00684931506849315	0.0205479452054795	0.0136986301369863	0.00684931506849315	0.0205479452054795	0	0	0	0	0.0342465753424658	0	0	0.0136986301369863	0	0	0	0	0.00684931506849315	0.123287671232877	0.00684931506849315	0.0273972602739726	0	0	0	0.00684931506849315	Fowlpox	FowlpoxN20.S3
FowlpoxN3.N4	0.0317460317460317	0	0	0	0.0158730158730159	0	0	0.126984126984127	0	0	0.0317460317460317	0.0158730158730159	0.0317460317460317	0	0	0.0158730158730159	0	0	0	0	0.0158730158730159	0	0	0	0	0	0	0	0	0	0	0	0.0476190476190476	0.0158730158730159	0	0	0	0	0	0	0.0158730158730159	0	0.0793650793650794	0	0	0	0	0.0317460317460317	0	0	0.0158730158730159	0.0317460317460317	0	0	0	0	0	0	0	0.0476190476190476	0	0	0	0	0.0476190476190476	0.0317460317460317	0.0317460317460317	0.0793650793650794	0	0	0	0	0.0158730158730159	0.0158730158730159	0.0317460317460317	0.0476190476190476	0	0.0158730158730159	0	0	0	0	0.0317460317460317	0.0476190476190476	0	0	0	0	0	0	0	0	0	0	0	0.0317460317460317	Fowlpox	FowlpoxN3.N4
FowlpoxN8.S6	0	0.05	0	0.05	0	0	0	0.175	0.025	0	0.05	0.05	0.1	0.025	0	0	0	0	0	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0.025	0	0	0	0.05	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0.025	0.025	0.05	0.025	0	0	0	Fowlpox	FowlpoxN8.S6
Human_alphaherpesvirus_1_96N1.N26	0	0	0	0	0	0	0	0	0.0740740740740741	0.0185185185185185	0.0185185185185185	0.0185185185185185	0	0	0	0	0	0	0	0	0	0	0	0	0.037037037037037	0.0555555555555556	0.0555555555555556	0.0185185185185185	0	0.0185185185185185	0.037037037037037	0	0	0	0.0185185185185185	0	0	0	0	0	0.0555555555555556	0.0185185185185185	0	0.0185185185185185	0	0.0185185185185185	0.0185185185185185	0	0	0.0185185185185185	0	0	0	0.0185185185185185	0	0	0.0555555555555556	0.0740740740740741	0.037037037037037	0.0740740740740741	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0185185185185185	0	0	0	0	0	0	0	0	0	0	0	0.0185185185185185	0	0	0	0.037037037037037	0	0	0.0740740740740741	0	0	0	0	0.0185185185185185	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N1.N26
Human_alphaherpesvirus_1_96N1.N28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024390243902439	0	0	0	0	0	0.0487804878048781	0	0.0487804878048781	0.024390243902439	0	0	0	0	0	0	0	0	0	0	0	0	0.024390243902439	0	0.292682926829268	0.024390243902439	0	0	0.0487804878048781	0	0	0.024390243902439	0	0	0	0	0	0	0.024390243902439	0.0487804878048781	0.0975609756097561	0	0	0	0	0	0	0.024390243902439	0.024390243902439	0	0	0	0	0.0487804878048781	0	0	0	0	0	0	0	0	0.024390243902439	0.024390243902439	0.0487804878048781	0	0	0	0	0	0	0	0.024390243902439	0	0	0	0.024390243902439	0.024390243902439	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N1.N28
Human_alphaherpesvirus_1_96N11.N12.1	0	0.0273972602739726	0	0	0	0	0.0136986301369863	0	0.0273972602739726	0.0136986301369863	0.0136986301369863	0.0273972602739726	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0547945205479452	0.0410958904109589	0	0	0	0	0	0	0.0273972602739726	0.0273972602739726	0	0	0	0	0	0	0	0.0547945205479452	0.0273972602739726	0.0273972602739726	0	0	0	0	0.0547945205479452	0.0273972602739726	0	0	0.0136986301369863	0	0	0	0	0.10958904109589	0	0	0.0273972602739726	0	0	0	0.0136986301369863	0.0410958904109589	0.0273972602739726	0.0273972602739726	0.0273972602739726	0.0547945205479452	0	0	0	0	0	0	0	0.0273972602739726	0	0.0410958904109589	0.0136986301369863	0.0273972602739726	0	0	0	0	0	0	0.0547945205479452	0	0.0136986301369863	0	0	0.0136986301369863	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N11.N12.1
Human_alphaherpesvirus_1_96N13.S26	0	0	0	0	0	0	0	0	0.0227272727272727	0.0454545454545455	0.0227272727272727	0	0	0	0	0	0	0	0.0227272727272727	0	0	0.0227272727272727	0	0	0	0.0227272727272727	0.0227272727272727	0	0	0	0.0227272727272727	0	0	0	0	0	0	0	0	0	0	0.0454545454545455	0.0227272727272727	0	0	0.0227272727272727	0	0	0.0227272727272727	0.0227272727272727	0	0	0	0	0	0	0	0	0	0.0681818181818182	0	0	0	0	0	0	0.0454545454545455	0	0	0	0	0	0	0	0	0	0	0	0.0227272727272727	0	0	0.0454545454545455	0.204545454545455	0.0454545454545455	0	0	0	0	0.0227272727272727	0.0454545454545455	0.0909090909090909	0.0227272727272727	0	0.0454545454545455	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N13.S26
Human_alphaherpesvirus_1_96N13.S27	0	0	0	0	0	0	0	0	0	0	0.0645161290322581	0.032258064516129	0	0	0	0	0	0	0	0	0	0	0	0	0.032258064516129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032258064516129	0.032258064516129	0	0	0	0	0	0	0.032258064516129	0.032258064516129	0	0	0	0	0	0	0.032258064516129	0.193548387096774	0	0	0	0	0	0	0	0	0	0	0.032258064516129	0	0.032258064516129	0	0.0645161290322581	0	0	0	0	0	0	0.032258064516129	0.0967741935483871	0.225806451612903	0.032258064516129	0	0	0	0	0	0	0	0	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N13.S27
Human_alphaherpesvirus_1_96N14.N7	0	0.0167130919220056	0	0	0	0	0	0	0.00278551532033426	0.0139275766016713	0.0334261838440111	0.00835654596100279	0	0.00278551532033426	0	0	0.011142061281337	0.011142061281337	0.0139275766016713	0.00557103064066852	0.00278551532033426	0.00557103064066852	0.0139275766016713	0.00557103064066852	0.011142061281337	0.0167130919220056	0.0334261838440111	0.0167130919220056	0.00557103064066852	0.00835654596100279	0.00278551532033426	0	0.0139275766016713	0.011142061281337	0.011142061281337	0.00557103064066852	0	0	0.00278551532033426	0	0	0.00278551532033426	0.00557103064066852	0.0139275766016713	0.011142061281337	0.00557103064066852	0.0194986072423398	0.00278551532033426	0.00835654596100279	0.0222841225626741	0.00835654596100279	0	0.00278551532033426	0.00557103064066852	0.00557103064066852	0.00278551532033426	0.0222841225626741	0.0278551532033426	0.0473537604456825	0.0139275766016713	0	0.00557103064066852	0.00278551532033426	0	0.011142061281337	0.0362116991643454	0.0612813370473538	0.0557103064066852	0.011142061281337	0.0167130919220056	0.0362116991643454	0.011142061281337	0.00835654596100279	0.00835654596100279	0.0278551532033426	0	0.00557103064066852	0.00278551532033426	0.00835654596100279	0.00557103064066852	0.00835654596100279	0.011142061281337	0.0222841225626741	0.0167130919220056	0	0	0.00278551532033426	0.00278551532033426	0.0250696378830084	0.011142061281337	0.0306406685236769	0.011142061281337	0.00278551532033426	0.00557103064066852	0.0167130919220056	0.00278551532033426	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N14.N7
Human_alphaherpesvirus_1_96N14.S20	0.0045662100456621	0.0045662100456621	0	0	0	0	0	0	0.0045662100456621	0.0136986301369863	0.045662100456621	0.0091324200913242	0	0.0045662100456621	0	0	0.0182648401826484	0.0136986301369863	0.0182648401826484	0.0045662100456621	0	0	0.0045662100456621	0.0045662100456621	0.0136986301369863	0.0091324200913242	0.0410958904109589	0.0182648401826484	0	0.0091324200913242	0.0091324200913242	0	0.0136986301369863	0.0182648401826484	0.0273972602739726	0.0228310502283105	0	0	0	0	0.0045662100456621	0	0.0136986301369863	0.0091324200913242	0.0136986301369863	0.0045662100456621	0.0136986301369863	0	0.0091324200913242	0.0045662100456621	0	0	0	0.0045662100456621	0.0045662100456621	0	0.0091324200913242	0.0593607305936073	0.0958904109589041	0.045662100456621	0.0045662100456621	0	0	0.0045662100456621	0.0045662100456621	0.0045662100456621	0.0091324200913242	0.0410958904109589	0.0045662100456621	0.0182648401826484	0.0228310502283105	0.0228310502283105	0.0136986301369863	0.0045662100456621	0.0136986301369863	0	0.0091324200913242	0.0045662100456621	0.0136986301369863	0.0091324200913242	0.0228310502283105	0.0228310502283105	0.0730593607305936	0.0182648401826484	0	0	0	0	0.0045662100456621	0.0091324200913242	0.0091324200913242	0.0091324200913242	0	0	0	0	Human_alphaherpesvirus_1_96	Human_alphaherpesvirus_1_96N14.S20
